lat,lon,index,color_index
53.397324007551632,-2.4039838761042831,1,1
51.612111666265569,-0.27594367407984088,1,0
52.705150009964974,-2.2094961431810121,2,1
51.597317796570763,-0.16480009649887317,2,0
55.487495451585907,-2.8907896977417442,2,2
55.985757840509322,-3.6829339479874754,3,1
51.564247993227241,-0.13840234938551954,3,0
51.282557469435744,-3.1097380272486275,3,3
53.402862368171633,-1.7919696860068288,3,2
53.736197498712848,-1.2527655959123174,4,4
51.554122913250197,-0.13833786458449904,4,1
51.180680203402083,-3.1266399552738875,4,0
53.036176713384158,-2.3251956656695736,4,2
55.981551658589112,-3.6829223305331107,4,3
53.804057758697994,-1.2653966651581832,5,3
51.57561678708759,-0.0064114070490306485,5,1
51.110204015034405,-3.7039299594494484,5,0
51.910227101311321,-1.6937357550359402,5,4
56.032305706533897,-3.705743798724539,5,5
53.45083240238877,-2.656373962137955,5,2
52.614919391087113,-1.5634555647017254,6,1
51.579594360431869,0.0079858227261058179,6,0
56.041216221445481,-3.7114968951403675,6,2
54.008310567007086,-1.287317718111713,6,4
53.480612239406646,-2.6872892789009244,6,5
51.217365615258473,-1.7047930057004519,6,6
51.125656257570597,-3.7847545288646955,6,3
