hour,lat,lon,count
 0, 54.9280329489, -1.4209245676, 1
 0, 55.0140829910, -1.6898309490, 1
 0, 51.5828375646, 0.2570512523, 1
 0, 51.5720813093, -1.7651247357, 1
 0, 51.5290562883, 0.3646138048, 1
 0, 55.9713897087, -4.3036009760, 1
 0, 55.0786205225, -1.6898309490, 1
 0, 55.8423146456, -2.0985686487, 1
 0, 54.9925704805, -1.4424370781, 1
 0, 51.5290562883, -0.1086614264, 2
 0, 52.2389691351, -0.9046243153, 1
 0, 53.4974510000, -1.8619310330, 1
 0, 51.2816624174, 0.5259576336, 2
 0, 51.1633436096, -3.3247817477, 1
 0, 53.0456882793, -2.1415936697, 1
 0, 56.4016399189, -3.4323443003, 1
 0, 55.9068521772, -4.3681385075, 1
 0, 52.4971192613, -1.9479810751, 1
 0, 51.7549376486, -1.2595807387, 1
 0, 56.7028150661, -3.7550319580, 1
 0, 51.6796438619, -0.0333676396, 1
 0, 53.7771136366, -1.7543684805, 1
 0, 51.5613250541, -0.3237865315, 1
 0, 52.9166132162, -1.4424370781, 1
 0, 52.3142629219, -1.9372248198, 1
 0, 52.4756067508, -1.9049560541, 1
 0, 51.7549376486, -0.4636178499, 1
 0, 51.7979626697, 1.1175516727, 1
 0, 57.5848279970, -2.0017623514, 1
 0, 53.0456882793, -2.1738624354, 2
 0, 54.9710579700, -1.6037809069, 1
 0, 50.9051934835, 0.5474701441, 1
 0, 50.2060368919, -5.2501514384, 1
 0, 50.3781369760, -4.7983887177, 2
 0, 51.5613250541, -0.2484927447, 1
 0, 52.4110692192, -1.2273119730, 1
 0, 53.1855195976, -2.3459625195, 1
 0, 53.1640070871, -3.0236066006, 1
 0, 50.7976309309, -1.0767243994, 2
 0, 53.3791321922, -1.3133620150, 1
 0, 52.3680441982, -1.9157123093, 1
 0, 51.4752750120, -0.1839552132, 3
 0, 51.4537625015, -0.3345427868, 1
 0, 51.1203185886, -0.4851303604, 1
 0, 53.7878698919, -2.4750375826, 1
 0, 51.2171248859, -0.5281553814, 1
 0, 55.9283646877, -4.3143572312, 1
 0, 51.3784687147, 0.5044451231, 1
 0, 51.3569562042, -2.5288188589, 1
 0, 51.2709061622, -0.9799181021, 1
 0, 52.9919070030, -1.2273119730, 1
 0, 51.3461999489, 1.3434330330, 1
 0, 55.8208021351, -4.1960384234, 1
 0, 52.2389691351, -0.8938680601, 2
 0, 51.4752750120, -0.1409301922, 1
 0, 53.0241757688, -1.1950432072, 1
 0, 51.4645187568, -0.1086614264, 1
 0, 51.3677124595, -0.2269802342, 1
 0, 50.8298996967, -0.7540367417, 1
 0, 53.1532508318, -1.1520181862, 1
 0, 51.2386373964, 1.0637703964, 1
 0, 51.5613250541, 0.0204136366, 1
 0, 53.5189635105, -2.1093249039, 1
 0, 52.0238440300, -0.6034491682, 1
 0, 51.7011563724, -0.0441238949, 1
 0, 55.8745834114, -4.2390634444, 1
 0, 53.6695510841, -2.6256251562, 1
 0, 52.1314065826, -2.7331877087, 1
 0, 52.7014881111, -2.0232748619, 1
 0, 51.5505687988, -0.0441238949, 1
 0, 51.3461999489, -0.0979051712, 1
 0, 50.8514122072, -1.0659681441, 1
 0, 51.1740998649, -1.7651247357, 1
 0, 52.6261943243, -1.0659681441, 1
 0, 56.4339086847, -3.4753693213, 1
 0, 51.5075437778, -0.5926929129, 1
 0, 55.8423146456, -4.3573822523, 1
 0, 50.7115808889, -2.0878123934, 1
 0, 54.0029949970, -2.0878123934, 1
 0, 51.3677124595, 0.1602449550, 1
 0, 51.8409876907, -2.2276437117, 1
 0, 52.4218254745, -1.9802498408, 1
 0, 52.5293880270, -1.9910060961, 1
 0, 51.5183000330, -2.0447873724, 1
 0, 53.0134195135, -2.7116751982, 1
 0, 51.2816624174, -0.0763926607, 1
 0, 52.7875381532, -1.9910060961, 1
 0, 50.5179682943, -3.7980569790, 1
 0, 53.9277012102, -2.9913378348, 1
 0, 54.9065204384, -1.9479810751, 1
 0, 53.4329134685, -2.3136937538, 1
 0, 51.2171248859, -1.5392433754, 1
 0, 51.5613250541, -0.2054677237, 1
 0, 52.6477068348, -2.0340311171, 1
 0, 55.5411394985, -2.8299940060, 1
 0, 53.2070321081, -2.3459625195, 1
 0, 51.6043500751, -0.1731989580, 1
 0, 52.3357754324, 0.9562078438, 1
 0, 51.5290562883, -0.6034491682, 1
 0, 51.6043500751, -0.0656364054, 2
 0, 51.4214937357, -0.1086614264, 1
 0, 52.4971192613, -2.0770561381, 1
 0, 52.0453565405, -0.7540367417, 1
 0, 52.7014881111, -1.3456307808, 1
 0, 52.4540942402, -2.0985686487, 2
 0, 51.4752750120, -0.0548801502, 1
 0, 51.4752750120, -0.3668115526, 1
 0, 50.9912435255, -0.0871489159, 1
 0, 51.3999812252, -0.2700052553, 1
 0, 52.0776253063, -0.2700052553, 1
 0, 51.5398125435, -0.0763926607, 2
 0, 51.5290562883, -0.1194176817, 1
 0, 51.5935938198, 0.0096573814, 1
 0, 52.5831693033, -0.2484927447, 1
 0, 51.6581313514, -4.7230949309, 1
 0, 51.6258625856, -0.2592490000, 1
 0, 51.5183000330, -0.7217679760, 1
 0, 51.5075437778, -0.0871489159, 1
 0, 51.1956123754, 0.2785637628, 1
 0, 52.5831693033, -2.0878123934, 1
 0, 52.9488819820, -1.1197494204, 1
 0, 53.3898884474, -2.9160440480, 1
 0, 50.8191434414, -0.1409301922, 1
 0, 55.3045018829, -1.7220997147, 1
 0, 53.7556011261, -3.0343628559, 1
 0, 51.4860312673, -2.5826001351, 2
 0, 51.7226688829, -0.4205928288, 1
 0, 50.9482185045, 0.7303264835, 1
