hour,lat,lon,count
 0, 53.4902729780, -1.5010468136, 1
 0, 58.0124268657, -4.2143391463, 1
 0, 51.6598773567, -3.4821808978, 1
 0, 54.9976576072, -1.5871830782, 1
 0, 50.6047081162, -3.5467830962, 1
 0, 51.2937982325, 1.0615070561, 1
 0, 51.5091388938, -0.4028094409, 1
 0, 52.2197630762, 0.1140081463, 1
 0, 53.7486817715, -1.6517852766, 1
 0, 53.0595916553, -2.9868973768, 1
 0, 53.6410114409, -2.4700797896, 1
 0, 51.5737410922, -0.2305369118, 4
 0, 51.6168092244, 0.2647466092, 1
 0, 51.4660707615, -0.1013325150, 5
 0, 53.5548751764, -1.6302512104, 1
 0, 51.4445366954, -2.1470687976, 1
 0, 53.6410114409, -2.6854204509, 1
 0, 53.7917499038, -2.4700797896, 1
 0, 53.0811257214, -2.4054775912, 1
 0, 51.4876048277, -0.0151962505, 1
 0, 52.5858422004, -0.2520709780, 2
 0, 52.2197630762, -0.8980929619, 1
 0, 53.2533982505, -4.0851347495, 1
 0, 52.0905586794, -0.9196270281, 1
 0, 52.4781718697, -1.5441149459, 2
 0, 53.4687389118, -2.2332050621, 2
 0, 53.7702158377, -1.7379215411, 1
 0, 52.2412971423, -0.9626951603, 1
 0, 51.4014685631, -0.5104797715, 1
 0, 51.6814114228, -2.0178644008, 1
 0, 52.5858422004, -1.8240578056, 1
 0, 52.2628312084, -0.8765588958, 1
 0, 51.4876048277, -0.0582643828, 2
 0, 50.9061850421, -1.4149105491, 1
 0, 51.5952751583, -0.2305369118, 2
 0, 51.2076619679, -0.1228665812, 2
 0, 53.7056136393, -1.7809896733, 1
 0, 53.4256707796, -3.0514995752, 1
 0, 51.5522070261, -0.2951391102, 4
 0, 53.6840795731, -2.8361589138, 1
 0, 52.5643081343, 1.1261092545, 1
 0, 56.0097587154, -3.7836578236, 1
 0, 53.2103301182, -0.5535479038, 1
 0, 50.5401059178, -3.5898512285, 1
 0, 57.1510642204, -2.1470687976, 1
 0, 51.6168092244, -3.4606468317, 1
 0, 52.9303872585, -4.1066688156, 1
 0, 51.6168092244, -0.1228665812, 1
