age_band,sex,vehicle_age,engine_capacity,score
 4, 2,  5,  3, 31.0000000000
 4, 2,  5,  4, 31.0000000000
 4, 2,  5,  5, 31.0000000000
 4, 2,  5,  6, 31.0000000000
 4, 2,  5,  7, 31.0000000000
 4, 2,  5,  8, 31.0000000000
 4, 2,  6,  0, 31.0000000000
 4, 2,  6,  1, 31.0000000000
 4, 2,  6,  2, 31.0000000000
 4, 2,  6,  3, 31.0000000000
 4, 2,  6,  4, 31.0000000000
 4, 2,  6,  5, 31.0000000000
 4, 2,  6,  6, 31.0000000000
 4, 2,  6,  7, 31.0000000000
 4, 2,  6,  8, 31.0000000000
 4, 2,  7,  0, 31.0000000000
 4, 2,  7,  1, 31.0000000000
 4, 2,  7,  2, 31.0000000000
 4, 2,  7,  3, 31.0000000000
 4, 2,  7,  4, 31.0000000000
 4, 2,  7,  5, 31.0000000000
 4, 2,  7,  6, 31.0000000000
 4, 2,  7,  7, 31.0000000000
 4, 2,  7,  8, 31.0000000000
 4, 2,  8,  0, 31.0000000000
 4, 2,  8,  1, 31.0000000000
 4, 2,  8,  2, 31.0000000000
 4, 2,  8,  3, 31.0000000000
 4, 2,  8,  4, 31.0000000000
 4, 2,  8,  5, 31.0000000000
 4, 2,  8,  6, 31.0000000000
 4, 2,  8,  7, 31.0000000000
 4, 2,  8,  8, 31.0000000000
 4, 2,  9,  0, 43.0000000000
 4, 2,  9,  1, 43.0000000000
 4, 2,  9,  2, 43.0000000000
 4, 2,  9,  3, 43.0000000000
 4, 2,  9,  4, 43.0000000000
 4, 2,  9,  5, 43.0000000000
 4, 2,  9,  6, 43.0000000000
 4, 2,  9,  7, 43.0000000000
 4, 2,  9,  8, 43.0000000000
 5, 1,  0,  0, 43.0000000000
 5, 1,  0,  1, 43.0000000000
 5, 1,  0,  2, 43.0000000000
 5, 1,  0,  3, 66.0000000000
 5, 1,  0,  4, 43.0000000000
 5, 1,  0,  5, 43.0000000000
 5, 1,  0,  6, 43.0000000000
 5, 1,  0,  7, 47.0000000000
 5, 1,  0,  8, 51.0000000000
 5, 1,  1,  0, 43.0000000000
 5, 1,  1,  1, 43.0000000000
 5, 1,  1,  2, 43.0000000000
 5, 1,  1,  3, 43.0000000000
 5, 1,  1,  4, 43.0000000000
 5, 1,  1,  5, 43.0000000000
 5, 1,  1,  6, 43.0000000000
 5, 1,  1,  7, 47.0000000000
 5, 1,  1,  8, 51.0000000000
 5, 1,  2,  0, 43.0000000000
 5, 1,  2,  1, 43.0000000000
 5, 1,  2,  2, 43.0000000000
 5, 1,  2,  3, 43.0000000000
 5, 1,  2,  4, 43.0000000000
 5, 1,  2,  5, 43.0000000000
 5, 1,  2,  6, 43.0000000000
 5, 1,  2,  7, 47.0000000000
 5, 1,  2,  8, 51.0000000000
 5, 1,  3,  0, 43.0000000000
 5, 1,  3,  1, 43.0000000000
 5, 1,  3,  2, 43.0000000000
 5, 1,  3,  3, 43.0000000000
 5, 1,  3,  4, 43.0000000000
 5, 1,  3,  5, 43.0000000000
 5, 1,  3,  6, 43.0000000000
 5, 1,  3,  7, 47.0000000000
 5, 1,  3,  8, 51.0000000000
 5, 1,  4,  0, 43.0000000000
 5, 1,  4,  1, 43.0000000000
 5, 1,  4,  2, 43.0000000000
 5, 1,  4,  3, 43.0000000000
 5, 1,  4,  4, 43.0000000000
 5, 1,  4,  5, 43.0000000000
 5, 1,  4,  6, 43.0000000000
 5, 1,  4,  7, 47.0000000000
 5, 1,  4,  8, 51.0000000000
 5, 1,  5,  0, 43.0000000000
 5, 1,  5,  1, 43.0000000000
 5, 1,  5,  2, 43.0000000000
 5, 1,  5,  3, 43.0000000000
 5, 1,  5,  4, 43.0000000000
 5, 1,  5,  5, 43.0000000000
 5, 1,  5,  6, 43.0000000000
 5, 1,  5,  7, 47.0000000000
 5, 1,  5,  8, 51.0000000000
 5, 1,  6,  0, 43.0000000000
 5, 1,  6,  1, 43.0000000000
 5, 1,  6,  2, 43.0000000000
 5, 1,  6,  3, 43.0000000000
 5, 1,  6,  4, 43.0000000000
 5, 1,  6,  5, 43.0000000000
 5, 1,  6,  6, 43.0000000000
 5, 1,  6,  7, 47.0000000000
 5, 1,  6,  8, 51.0000000000
 5, 1,  7,  0, 43.0000000000
 5, 1,  7,  1, 43.0000000000
 5, 1,  7,  2, 43.0000000000
 5, 1,  7,  3, 43.0000000000
 5, 1,  7,  4, 43.0000000000
 5, 1,  7,  5, 43.0000000000
 5, 1,  7,  6, 43.0000000000
 5, 1,  7,  7, 47.0000000000
 5, 1,  7,  8, 51.0000000000
 5, 1,  8,  0, 43.0000000000
 5, 1,  8,  1, 43.0000000000
 5, 1,  8,  2, 43.0000000000
 5, 1,  8,  3, 43.0000000000
 5, 1,  8,  4, 43.0000000000
 5, 1,  8,  5, 43.0000000000
 5, 1,  8,  6, 43.0000000000
 5, 1,  8,  7, 47.0000000000
 5, 1,  8,  8, 51.0000000000
 5, 1,  9,  0, 43.0000000000
 5, 1,  9,  1, 43.0000000000
 5, 1,  9,  2, 43.0000000000
 5, 1,  9,  3, 43.0000000000
 5, 1,  9,  4, 43.0000000000
 5, 1,  9,  5, 43.0000000000
 5, 1,  9,  6, 43.0000000000
 5, 1,  9,  7, 47.0000000000
 5, 1,  9,  8, 51.0000000000
 5, 2,  0,  0, 31.0000000000
 5, 2,  0,  1, 31.0000000000
 5, 2,  0,  2, 31.0000000000
 5, 2,  0,  3, 31.0000000000
 5, 2,  0,  4, 31.0000000000
 5, 2,  0,  5, 31.0000000000
 5, 2,  0,  6, 31.0000000000
 5, 2,  0,  7, 31.0000000000
 5, 2,  0,  8, 31.0000000000
 5, 2,  1,  0, 31.0000000000
 5, 2,  1,  1, 31.0000000000
 5, 2,  1,  2, 31.0000000000
 5, 2,  1,  3, 31.0000000000
 5, 2,  1,  4, 31.0000000000
 5, 2,  1,  5, 31.0000000000
 5, 2,  1,  6, 31.0000000000
 5, 2,  1,  7, 24.0000000000
 5, 2,  1,  8, 24.0000000000
 5, 2,  2,  0, 31.0000000000
 5, 2,  2,  1, 31.0000000000
 5, 2,  2,  2, 31.0000000000
 5, 2,  2,  3, 31.0000000000
 5, 2,  2,  4, 31.0000000000
 5, 2,  2,  5, 31.0000000000
 5, 2,  2,  6, 31.0000000000
 5, 2,  2,  7, 24.0000000000
 5, 2,  2,  8, 24.0000000000
 5, 2,  3,  0, 31.0000000000
 5, 2,  3,  1, 31.0000000000
 5, 2,  3,  2, 31.0000000000
 5, 2,  3,  3, 31.0000000000
 5, 2,  3,  4, 31.0000000000
 5, 2,  3,  5, 31.0000000000
 5, 2,  3,  6, 31.0000000000
 5, 2,  3,  7, 32.0000000000
 5, 2,  3,  8, 34.0000000000
 5, 2,  4,  0, 31.0000000000
 5, 2,  4,  1, 31.0000000000
 5, 2,  4,  2, 31.0000000000
 5, 2,  4,  3, 31.0000000000
 5, 2,  4,  4, 31.0000000000
 5, 2,  4,  5, 31.0000000000
 5, 2,  4,  6, 31.0000000000
 5, 2,  4,  7, 32.0000000000
 5, 2,  4,  8, 34.0000000000
 5, 2,  5,  0, 31.0000000000
 5, 2,  5,  1, 31.0000000000
 5, 2,  5,  2, 42.0000000000
 5, 2,  5,  3, 31.0000000000
 5, 2,  5,  4, 31.0000000000
 5, 2,  5,  5, 31.0000000000
 5, 2,  5,  6, 31.0000000000
 5, 2,  5,  7, 32.0000000000
 5, 2,  5,  8, 34.0000000000
 5, 2,  6,  0, 31.0000000000
 5, 2,  6,  1, 31.0000000000
 5, 2,  6,  2, 31.0000000000
 5, 2,  6,  3, 31.0000000000
 5, 2,  6,  4, 31.0000000000
 5, 2,  6,  5, 31.0000000000
 5, 2,  6,  6, 31.0000000000
 5, 2,  6,  7, 32.0000000000
 5, 2,  6,  8, 34.0000000000
 5, 2,  7,  0, 31.0000000000
 5, 2,  7,  1, 31.0000000000
 5, 2,  7,  2, 42.0000000000
 5, 2,  7,  3, 31.0000000000
 5, 2,  7,  4, 31.0000000000
 5, 2,  7,  5, 31.0000000000
 5, 2,  7,  6, 31.0000000000
 5, 2,  7,  7, 32.0000000000
 5, 2,  7,  8, 34.0000000000
 5, 2,  8,  0, 31.0000000000
 5, 2,  8,  1, 31.0000000000
 5, 2,  8,  2, 42.0000000000
 5, 2,  8,  3, 31.0000000000
 5, 2,  8,  4, 31.0000000000
 5, 2,  8,  5, 31.0000000000
 5, 2,  8,  6, 31.0000000000
 5, 2,  8,  7, 32.0000000000
 5, 2,  8,  8, 34.0000000000
 5, 2,  9,  0, 31.0000000000
 5, 2,  9,  1, 31.0000000000
 5, 2,  9,  2, 42.0000000000
 5, 2,  9,  3, 31.0000000000
 5, 2,  9,  4, 31.0000000000
 5, 2,  9,  5, 31.0000000000
 5, 2,  9,  6, 31.0000000000
 5, 2,  9,  7, 32.0000000000
